Moles Titrant Added,Volume Titrant Added,Moles Acid,[A],Moles Base,[B],Total Volume,pH
0.000030,0.000304,0.000170,0.073611,0.000000,0.000000,0.002304,1.133057,
0.000031,0.000308,0.000169,0.073310,0.000000,0.000000,0.002308,1.134835,
0.000031,0.000312,0.000169,0.073010,0.000000,0.000000,0.002312,1.136615,
0.000032,0.000316,0.000168,0.072712,0.000000,0.000000,0.002316,1.138396,
0.000032,0.000320,0.000168,0.072414,0.000000,0.000000,0.002320,1.140179,
0.000032,0.000324,0.000168,0.072117,0.000000,0.000000,0.002324,1.141962,
0.000033,0.000328,0.000167,0.071821,0.000000,0.000000,0.002328,1.143747,
0.000033,0.000332,0.000167,0.071527,0.000000,0.000000,0.002332,1.145532,
0.000034,0.000336,0.000166,0.071233,0.000000,0.000000,0.002336,1.147320,
0.000034,0.000340,0.000166,0.070940,0.000000,0.000000,0.002340,1.149108,
0.000034,0.000344,0.000166,0.070648,0.000000,0.000000,0.002344,1.150897,
0.000035,0.000348,0.000165,0.070358,0.000000,0.000000,0.002348,1.152688,
0.000035,0.000352,0.000165,0.070068,0.000000,0.000000,0.002352,1.154480,
0.000036,0.000356,0.000164,0.069779,0.000000,0.000000,0.002356,1.156273,
0.000036,0.000360,0.000164,0.069492,0.000000,0.000000,0.002360,1.158068,
0.000036,0.000364,0.000164,0.069205,0.000000,0.000000,0.002364,1.159864,
0.000037,0.000368,0.000163,0.068919,0.000000,0.000000,0.002368,1.161662,
0.000037,0.000372,0.000163,0.068634,0.000000,0.000000,0.002372,1.163460,
0.000038,0.000376,0.000162,0.068350,0.000000,0.000000,0.002376,1.165260,
0.000038,0.000380,0.000162,0.068067,0.000000,0.000000,0.002380,1.167062,
0.000038,0.000384,0.000162,0.067785,0.000000,0.000000,0.002384,1.168865,
0.000039,0.000388,0.000161,0.067504,0.000000,0.000000,0.002388,1.170669,
0.000039,0.000392,0.000161,0.067224,0.000000,0.000000,0.002392,1.172475,
0.000040,0.000396,0.000160,0.066945,0.000000,0.000000,0.002396,1.174282,
0.000040,0.000400,0.000160,0.066667,0.000000,0.000000,0.002400,1.176091,
0.000040,0.000404,0.000160,0.066389,0.000000,0.000000,0.002404,1.177902,
0.000041,0.000408,0.000159,0.066113,0.000000,0.000000,0.002408,1.179713,
0.000041,0.000412,0.000159,0.065837,0.000000,0.000000,0.002412,1.181527,
0.000042,0.000416,0.000158,0.065563,0.000000,0.000000,0.002416,1.183342,
0.000042,0.000420,0.000158,0.065289,0.000000,0.000000,0.002420,1.185158,
0.000042,0.000424,0.000158,0.065017,0.000000,0.000000,0.002424,1.186976,
0.000043,0.000428,0.000157,0.064745,0.000000,0.000000,0.002428,1.188796,
0.000043,0.000432,0.000157,0.064474,0.000000,0.000000,0.002432,1.190618,
0.000044,0.000436,0.000156,0.064204,0.000000,0.000000,0.002436,1.192441,
0.000044,0.000440,0.000156,0.063934,0.000000,0.000000,0.002440,1.194265,
0.000044,0.000444,0.000156,0.063666,0.000000,0.000000,0.002444,1.196092,
0.000045,0.000448,0.000155,0.063399,0.000000,0.000000,0.002448,1.197920,
0.000045,0.000452,0.000155,0.063132,0.000000,0.000000,0.002452,1.199750,
0.000046,0.000456,0.000154,0.062866,0.000000,0.000000,0.002456,1.201581,
0.000046,0.000460,0.000154,0.062602,0.000000,0.000000,0.002460,1.203414,
0.000046,0.000464,0.000154,0.062338,0.000000,0.000000,0.002464,1.205249,
0.000047,0.000468,0.000153,0.062075,0.000000,0.000000,0.002468,1.207086,
0.000047,0.000472,0.000153,0.061812,0.000000,0.000000,0.002472,1.208925,
0.000048,0.000476,0.000152,0.061551,0.000000,0.000000,0.002476,1.210766,
0.000048,0.000480,0.000152,0.061290,0.000000,0.000000,0.002480,1.212608,
0.000048,0.000484,0.000152,0.061031,0.000000,0.000000,0.002484,1.214452,
0.000049,0.000488,0.000151,0.060772,0.000000,0.000000,0.002488,1.216299,
0.000049,0.000492,0.000151,0.060514,0.000000,0.000000,0.002492,1.218147,
0.000050,0.000496,0.000150,0.060256,0.000000,0.000000,0.002496,1.219997,
0.000050,0.000500,0.000150,0.060000,0.000000,0.000000,0.002500,1.221849,
0.000050,0.000504,0.000150,0.059744,0.000000,0.000000,0.002504,1.223703,
0.000051,0.000508,0.000149,0.059490,0.000000,0.000000,0.002508,1.225559,
0.000051,0.000512,0.000149,0.059236,0.000000,0.000000,0.002512,1.227417,
0.000052,0.000516,0.000148,0.058983,0.000000,0.000000,0.002516,1.229277,
0.000052,0.000520,0.000148,0.058730,0.000000,0.000000,0.002520,1.231139,
0.000052,0.000524,0.000148,0.058479,0.000000,0.000000,0.002524,1.233003,
0.000053,0.000528,0.000147,0.058228,0.000000,0.000000,0.002528,1.234869,
0.000053,0.000532,0.000147,0.057978,0.000000,0.000000,0.002532,1.236738,
0.000054,0.000536,0.000146,0.057729,0.000000,0.000000,0.002536,1.238608,
0.000054,0.000540,0.000146,0.057480,0.000000,0.000000,0.002540,1.240481,
0.000054,0.000544,0.000146,0.057233,0.000000,0.000000,0.002544,1.242356,
0.000055,0.000548,0.000145,0.056986,0.000000,0.000000,0.002548,1.244233,
0.000055,0.000552,0.000145,0.056740,0.000000,0.000000,0.002552,1.246112,
0.000056,0.000556,0.000144,0.056495,0.000000,0.000000,0.002556,1.247994,
0.000056,0.000560,0.000144,0.056250,0.000000,0.000000,0.002560,1.249877,
0.000056,0.000564,0.000144,0.056006,0.000000,0.000000,0.002564,1.251764,
0.000057,0.000568,0.000143,0.055763,0.000000,0.000000,0.002568,1.253652,
0.000057,0.000572,0.000143,0.055521,0.000000,0.000000,0.002572,1.255543,
0.000058,0.000576,0.000142,0.055280,0.000000,0.000000,0.002576,1.257436,
0.000058,0.000580,0.000142,0.055039,0.000000,0.000000,0.002580,1.259331,
0.000058,0.000584,0.000142,0.054799,0.000000,0.000000,0.002584,1.261229,
0.000059,0.000588,0.000141,0.054560,0.000000,0.000000,0.002588,1.263130,
0.000059,0.000592,0.000141,0.054321,0.000000,0.000000,0.002592,1.265032,
0.000060,0.000596,0.000140,0.054083,0.000000,0.000000,0.002596,1.266938,
0.000060,0.000600,0.000140,0.053846,0.000000,0.000000,0.002600,1.268845,
0.000060,0.000604,0.000140,0.053610,0.000000,0.000000,0.002604,1.270756,
0.000061,0.000608,0.000139,0.053374,0.000000,0.000000,0.002608,1.272668,
0.000061,0.000612,0.000139,0.053139,0.000000,0.000000,0.002612,1.274584,
0.000062,0.000616,0.000138,0.052905,0.000000,0.000000,0.002616,1.276502,
0.000062,0.000620,0.000138,0.052672,0.000000,0.000000,0.002620,1.278422,
